Date,Open,High,Low,Close,Volume
2005-01-03,100.60555459055658,101.2041175063363,100.22437645156074,100.49671415301123,450075
2005-01-04,100.32589291566642,104.20099206502054,99.65260763340363,100.35844985184005,474257
2005-01-05,101.16495272728945,102.44027141779442,96.51238334617683,101.00613838994074,323167
2005-01-06,101.0611329993689,104.41315086000087,102.17550645950733,102.52916824634876,904715
2005-01-07,101.65493951145977,107.26128791624616,99.59945629636131,102.29501487162543,722582
2005-01-10,103.49760376946965,103.02080468589487,101.9739761370973,102.06087791467625,590435
2005-01-11,102.98074370506042,104.23069441571687,100.05000801373066,103.64009073018364,857207
2005-01-12,104.26843890345488,105.75007190896817,103.70596567837094,104.40752545933655,936550
2005-01-13,104.14915721845857,108.59707742278502,103.0384989846756,103.9380510734016,744759
2005-01-14,104.30872038456033,105.0808611112571,103.06719073544156,104.48061111698756,867283
2005-01-17,103.45215041567516,107.09691321227189,104.0022833234113,104.0171934241751,585834
2005-01-18,104.4721321631,107.51687698941247,100.9299406646022,103.55146367060485,387233
2005-01-19,102.75634897596873,108.40527815779436,98.93938574382531,103.79342594217087,791702
2005-01-20,99.82148888796002,104.27030329927041,98.4054110061765,101.88014569751307,586443
2005-01-21,101.44395169448399,102.44367889054794,95.39250043727118,100.15522786500004,362184
2005-01-24,98.30300518505703,103.73098175406238,98.94081146868966,99.59294033575907,795109
2005-01-25,99.30433914757027,99.55930200577981,97.37489025367901,98.58010921542466,605125
2005-01-26,98.50663854915544,101.20514627187163,97.15681130551694,98.89435654801993,337521
2005-01-27,99.48858874576854,101.17499526223908,94.27355877660452,97.98633247249872,688460
2005-01-28,96.32605010180663,100.07449472277058,91.5942248835244,96.57402877116343,141992
2005-01-31,97.49828217796802,98.59890713839002,93.7575980278801,98.03967754008498,619220
2005-02-01,98.70149949693378,102.1497136333408,94.88344971749649,97.81390123959844,265659
2005-02-02,99.12120254092827,101.97266785296253,94.95767122657578,97.88142944428637,705182
2005-02-03,98.07631149288669,98.04192736785753,92.6053049310326,96.4566812580729,935711
2005-02-04,93.4003249658172,98.29420392943305,94.96986133778289,95.91229853354773,184498
2005-02-07,94.04328940028523,97.9434244027397,91.90916662446297,96.02322112325758,196195
2005-02-08,93.78310911491657,99.77772093659128,91.17967540456812,94.87222754583529,131363
2005-02-09,94.13019056391748,98.16788425923447,94.90621247784144,95.24792556418096,637100
2005-02-10,94.1541232241733,95.99961047172985,94.43942190853019,94.64728687426215,444056
2005-02-11,94.4063631291049,98.08532918528854,93.5835062601444,94.35559312446888,869802
2005-02-14,93.94541844481493,97.86209208049704,90.48703289532115,93.75388651223948,391572
2005-02-15,96.15997821933313,99.23680948275539,90.83661189043046,95.60616469674842,910753
2005-02-16,94.8950739631056,96.01027261115564,95.0346326029221,95.59266747201049,619109
2005-02-17,94.44492012153025,95.97363478042496,91.49045981383911,94.53495654305459,633373
2005-02-18,95.29491859364802,97.1696842975827,92.38361419194393,95.35750145515777,168342
2005-02-21,94.15352961674253,95.22102913887353,93.28665684991039,94.13665780518676,855943
2005-02-22,93.83997004989357,96.75226298253979,93.02991562239859,94.3455214001915,269527
2005-02-23,92.59857011561465,93.98334221515196,89.68948920100489,92.38585127631173,684445
2005-02-24,90.02036102019294,91.23997347306468,89.37922793633933,91.05766522741331,195795
